date,price,portfolio_value,long_shares,short_shares,long_position,short_position,cash,long_action,short_action,returns,benchmark_portfolio_value,benchmark_long_shares,benchmark_short_shares,benchmark_long_position,benchmark_short_position,benchmark_cash,benchmark_returns
2016-02-17,0.6584294,2057144.5311133955,1442339.3344493315,0.0,949678.599834442,0.0,1107465.9312789533,0.9496786,0.0,0.009087588054857447,1602731.1370149662,2434173.16328533,0.0,1602731.1370149662,0.0,0.0,0.048970118165016174
2016-02-18,0.6747742,2080685.911164193,1481977.1654612343,0.0,1000000.0000000001,0.0,1080685.9111641927,1.0,0.0,0.01144371710142121,1642517.32078999,2434173.16328533,0.0,1642517.32078999,0.0,0.0,0.0248239915817976
2016-02-19,0.7328353,2166076.569456592,767479.1475124393,0.0,562435.8057975769,0.0,1603640.7636590153,0.5624358,0.0,0.04103966765681667,1783848.0028814483,2434173.16328533,0.0,1783848.0028814483,0.0,0.0,0.08604516834020615
2016-02-22,0.7425933,2173028.0336852404,1346632.1546286563,0.0,1000000.0,0.0,1173028.0336852404,1.0,0.0,0.003209242150840565,1807600.6539117366,2434173.16328533,0.0,1807600.6539117366,0.0,0.0,0.013315401040017605
2016-02-23,0.76894027,2208507.72618478,1346632.1546286563,0.0,1035479.6924995392,0.0,1173028.0336852404,1.0,0.0,0.016327305469395766,1871733.7692744911,2434173.16328533,0.0,1871733.7692744911,0.0,0.0,0.03547969087958336
2016-02-24,0.77089185,2210623.80977031,815330.1922716646,0.0,628531.3963890076,0.0,1582092.4133813023,0.6285314,0.0,0.000958150863789646,1876484.2414453381,2434173.16328533,0.0,1876484.2414453381,0.0,0.0,0.0025380062870681286
2016-02-25,0.7762588,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0016215909673486235,1889548.402635234,2434173.16328533,0.0,1889548.402635234,0.0,0.0,0.00696204137057066
2016-02-26,0.77796644,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1893705.0295127183,2434173.16328533,0.0,1893705.0295127183,0.0,0.0,0.0021997990552335978
2016-02-29,0.7728435,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1881234.8587042117,2434173.16328533,0.0,1881234.8587042117,0.0,0.0,-0.006585065275430679
2016-03-01,0.7678242,2214208.537372439,0.0,0.0,0.0,0.0,2214208.537372439,0.0,0.0,0.0,1869016.99597417,2434173.16328533,0.0,1869016.99597417,0.0,0.0,-0.006494597066193819
